A1 = [98407, 78900, 54346, 77833, 60966, 63687, 19579, 93149, 37073, 54137, 64454, 15491, 49331, 66830, 32565, 92165, 83789, 47403, 25053, 39426, 32808, 5910, 33202, 56689, 13148, 54458, 27990, 11332, 78380, 33369, 32673, 29805, 86080, 97911, 3120, 7464, 38263, 63726, 51109, 15691, 4919, 97604, 59099, 11774, 44141, 49512, 1226, 29698, 8260, 59734, 63178, 95747, 35722, 34197, 96068, 71417, 34359, 33088, 45959, 27360, 767, 46205, 32826, 95277, 6890, 28786, 57563, 81444, 44197, 37401, 20566, 51439, 10688, 90545, 22502, 69732, 57359, 83414, 61358, 15493, 75149, 43327, 52859, 79270, 75493, 67061, 3775, 46140, 44294, 14749, 19279, 61096, 34859, 43960, 46362, 41173, 11094, 60641, 20948, 49208]
A2 = [52705, 17857, 86854, 90835, 58886, 4281, 74175, 88260, 56856, 37287, 50469, 10751, 17458, 90141, 14089, 15461, 42539, 33166, 81420, 76316, 32105, 27609, 53586, 42595, 32473, 10675, 90151, 85060, 87833, 45272, 22642, 15892, 85110, 50174, 304, 78548, 69804, 26713, 17513, 11048, 19257, 7525, 26381, 77728, 32445, 66499, 38399, 98914, 95849, 99157, 29260, 50776, 49586, 76537, 75101, 7034, 5625, 88091, 75252, 41955, 69423, 10407, 16850, 54703, 66378, 1185, 96824, 11109, 60145, 1131, 89291, 26611, 10382, 73323, 12873, 80657, 60579, 95243, 68461, 88315, 66921, 74276, 44827, 74770, 10599, 60429, 7953, 75555, 46522, 26933, 95524, 91819, 77058, 73117, 47687, 18252, 96055, 63356, 48058, 15288]
A3 = [69769, 11967, 30225, 74299, 30805, 6263, 33807, 47623, 95148, 57057, 70712, 6513, 59367, 29060, 48482, 44600, 11111, 93148, 80881, 59859, 76592, 83382, 56662, 61528, 72885, 16581, 80063, 792, 1281, 91663, 57008, 79728, 96057, 7489, 88014, 8581, 18368, 33711, 19367, 99089, 15337, 57796, 69775, 37887, 71269, 14449, 45548, 67698, 65901, 29867, 49716, 3097, 59063, 36536, 73191, 20939, 46523, 21261, 43087, 91154, 45030, 98884, 51644, 17872, 89348, 32293, 91502, 43583, 21701, 23349, 97515, 93080, 47248, 52371, 970, 21361, 5617, 94297, 29849, 83222, 32072, 1854, 77315, 66869, 48033, 8243, 52326, 69848, 60192, 52477, 23925, 8741, 89540, 15580, 15902, 96157, 54181, 26752, 11355, 43767]
A4 = [79977, 55351, 97503, 28794, 45685, 2400, 63654, 38206, 1894, 74195, 58922, 84734, 83517, 88777, 10031, 58495, 62066, 35385, 25514, 33868, 66006, 14762, 19624, 51162, 51398, 6081, 36914, 74856, 8524, 25233, 84139, 27276, 91203, 73553, 49873, 87008, 31644, 5283, 31443, 56909, 35588, 49504, 20394, 96620, 74576, 28744, 26130, 20443, 504, 44377, 80163, 59347, 20451, 58083, 16909, 30431, 91401, 14658, 34366, 62804, 33519, 19141, 71993, 84993, 82596, 49388, 52088, 61764, 87632, 44501, 42178, 64830, 54939, 97809, 45393, 75276, 28412, 27207, 99789, 15524, 94355, 31943, 92487, 40972, 62666, 61825, 81158, 81322, 94787, 16101, 33118, 65677, 4263, 42488, 78112, 28967, 12273, 62036, 47421, 32938]
A5 = [25803, 8706, 15441, 25405, 38270, 77494, 7733, 25219, 3035, 43526, 74476, 17143, 62558, 60564, 4237, 60477, 70723, 83388, 33724, 29533, 496, 65338, 6619, 8317, 10642, 50308, 2814, 30858, 32562, 90228, 21592, 38930, 47114, 12469, 86421, 28742, 81901, 16371, 19282, 92858, 94830, 79070, 99584, 21011, 66970, 30448, 95137, 61603, 81587, 91082, 84339, 94262, 601, 1493, 21008, 82808, 94266, 20465, 81584, 15438, 58051, 66763, 14283, 21832, 9607, 21811, 69206, 9291, 30676, 30316, 3998, 27152, 35131, 61882, 59789, 18796, 84653, 54737, 44343, 96526, 32984, 73024, 94788, 38718, 34039, 8955, 86018, 86697, 39868, 3893, 29294, 34255, 33472, 99809, 87334, 13901, 7823, 301, 55962, 26042]
A6 = [51574, 91096, 64838, 46941, 26670, 78002, 35315, 9349, 31659, 12652, 12784, 85289, 18595, 97552, 77248, 20509, 94879, 68054, 91344, 62597, 64649, 67120, 50880, 8048, 20270, 97547, 69022, 66269, 85825, 95788, 11281, 41988, 81019, 87403, 8447, 94943, 43314, 3310, 9702, 90962, 60975, 65437, 69480, 19774, 51618, 95711, 82467, 25855, 93829, 95221, 2379, 4249, 90284, 48296, 71215, 59709, 28240, 33143, 51034, 58487, 70845, 19364, 59136, 76879, 20934, 33962, 85717, 93494, 68757, 64047, 9682, 86714, 81306, 49684, 22909, 79433, 14579, 92796, 28040, 96453, 32952, 56759, 59422, 60745, 67845, 94378, 39376, 3803, 30912, 99876, 3849, 12963, 56878, 99543, 75251, 25044, 69858, 40335, 71939, 48962]
A7 = [37813, 15068, 24978, 74434, 91088, 71439, 26105, 72637, 79399, 62115, 27261, 98807, 64804, 60819, 54602, 96397, 29665, 73347, 17993, 14029, 88773, 76353, 2818, 21724, 10306, 54101, 33858, 17669, 36245, 22233, 20569, 1965, 92727, 61503, 87367, 99957, 8097, 39163, 4863, 42681, 98881, 64626, 14370, 56653, 42062, 69632, 36099, 74613, 84150, 8418, 55372, 70971, 99600, 75937, 67825, 87492, 20168, 88925, 78135, 32963, 30830, 42689, 26862, 79371, 17734, 4478, 34488, 86247, 95046, 74246, 31332, 92660, 90576, 57875, 50498, 9465, 9791, 70554, 93182, 38432, 3902, 8306, 9111, 43285, 98651, 12439, 64927, 44718, 29338, 83792, 15542, 1717, 15138, 77648, 58859, 19618, 85204, 77353, 20656, 85169]
A8 = [82897, 36594, 51147, 62818, 15658, 30250, 81755, 29880, 30036, 59000, 68849, 98258, 34172, 683, 50441, 21140, 35064, 31294, 55427, 70890, 71975, 4421, 51229, 87577, 71647, 3423, 42667, 14024, 33697, 47537, 30333, 72459, 58192, 16307, 87447, 8654, 58789, 56462, 67642, 73203, 2739, 14728, 42701, 61919, 4207, 4197, 56753, 89517, 2454, 90651, 14718, 13162, 77576, 80529, 88339, 5418, 54600, 31186, 43630, 20137, 49583, 46080, 50851, 75239, 19186, 22656, 63541, 78213, 28114, 42928, 93200, 15079, 28547, 51593, 6975, 31138, 28864, 91065, 61780, 99573, 90379, 49495, 40406, 47070, 43404, 15429, 5030, 7507, 31211, 53650, 35052, 60513, 41759, 35942, 76975, 8270, 21278, 36570, 51036, 12975]
A9 = [57065, 20525, 99467, 40503, 50205, 41616, 65785, 44115, 70696, 92354, 72351, 14089, 16481, 26411, 82602, 55091, 36859, 63397, 427, 48620, 9303, 98063, 3898, 16974, 95681, 56851, 60029, 25491, 29835, 61440, 89559, 15331, 73384, 77069, 49621, 96798, 5693, 59296, 98801, 9798, 84964, 7026, 93931, 62505, 41985, 23049, 92314, 38881, 23211, 86231, 16186, 336, 93470, 65821, 35722, 57384, 31588, 50663, 12402, 17626, 9478, 12956, 65236, 2895, 51372, 3907, 55002, 72156, 77495, 73469, 83472, 11309, 85755, 82783, 48445, 95684, 63580, 56491, 4605, 80653, 4870, 80653, 10656, 56296, 84503, 82704, 95821, 14304, 54178, 73034, 78578, 78599, 24257, 65983, 2719, 77620, 87992, 17783, 95886, 26196]
A10 = [51873, 27275, 26833, 47102, 27455, 66994, 4804, 94802, 4258, 41722, 41135, 7474, 60661, 83710, 66778, 84822, 2073, 89314, 68230, 4808, 54089, 39289, 70331, 2981, 42982, 14174, 57248, 90732, 35582, 6128, 74917, 81623, 20687, 38994, 42075, 32624, 7768, 67474, 42492, 44172, 79852, 34943, 49513, 87224, 67151, 32492, 87155, 46004, 80369, 55238, 47169, 9338, 64578, 78355, 88733, 1834, 38701, 76410, 90258, 13028, 20596, 8013, 5006, 75608, 34739, 14505, 36198, 55536, 38360, 95260, 4874, 84040, 45260, 88075, 64505, 45502, 80007, 5547, 45878, 38485, 825, 59604, 55018, 60826, 51124, 1433, 33304, 35541, 92724, 20705, 76162, 81579, 86831, 12166, 61896, 70633, 39682, 84247, 71423, 51876]
